"Mutational landscape of EGFR-, MYC-, and Kras-driven genetically engineered mouse models of lung adenocarcinoma.","/pubmed/27702896","McFadden DG, Politi K, Bhutkar A, Chen FK, Song X, Pirun M, Santiago PM, Kim-Kiselak C, Platt JT, Lee E, Hodges E, Rosebrock AP, Bronson RT, Socci ND, Hannon GJ, Jacks T, Varmus H.","Proc Natl Acad Sci U S A. 2016 Oct 18;113(42):E6409-E6417.","Proc Natl Acad Sci U S A.  2016","PubMed","citation","PMID:27702896 | PMCID:PMC5081629","pubmed","27702896","create date:2016/10/30 | first author:McFadden DG",
"Oncogenic transformation of Drosophila somatic cells induces a functional piRNA pathway.","/pubmed/27474441","Fagegaltier D, Falciatori I, Czech B, Castel S, Perrimon N, Simcox A, Hannon GJ.","Genes Dev. 2016 Jul 15;30(14):1623-35. doi: 10.1101/gad.284927.116.","Genes Dev.  2016","PubMed","citation","PMID:27474441 | PMCID:PMC4973292","pubmed","27474441","create date:2016/07/31 | first author:Fagegaltier D",
"A Happy 3' Ending to the piRNA Maturation Story.","/pubmed/26919421","Czech B, Hannon GJ.","Cell. 2016 Feb 25;164(5):838-40. doi: 10.1016/j.cell.2016.02.012.","Cell.  2016","PubMed","citation","PMID:26919421","pubmed","26919421","create date:2016/02/27 | first author:Czech B",
"One Loop to Rule Them All: The Ping-Pong Cycle and piRNA-Guided Silencing.","/pubmed/26810602","Czech B, Hannon GJ.","Trends Biochem Sci. 2016 Apr;41(4):324-37. doi: 10.1016/j.tibs.2015.12.008. Review.","Trends Biochem Sci.  2016","PubMed","citation","PMID:26810602 | PMCID:PMC4819955","pubmed","26810602","create date:2016/01/27 | first author:Czech B",
"Inducing RNAi in Caenorhabditis elegans by Injection of dsRNA.","/pubmed/26729904","Hammell CM, Hannon GJ.","Cold Spring Harb Protoc. 2016 Jan 4;2016(1):pdb.prot086306. doi: 10.1101/pdb.prot086306.","Cold Spring Harb Protoc.  2016","PubMed","citation","PMID:26729904","pubmed","26729904","create date:2016/01/06 | first author:Hammell CM",
"Regulation of Ribosome Biogenesis and Protein Synthesis Controls Germline Stem Cell Differentiation.","/pubmed/26669894","Sanchez CG, Teixeira FK, Czech B, Preall JB, Zamparini AL, Seifert JR, Malone CD, Hannon GJ, Lehmann R.","Cell Stem Cell. 2016 Feb 4;18(2):276-90. doi: 10.1016/j.stem.2015.11.004.","Cell Stem Cell.  2016","PubMed","citation","PMID:26669894 | PMCID:PMC4744108","pubmed","26669894","create date:2015/12/17 | first author:Sanchez CG",
"Panoramix enforces piRNA-dependent cotranscriptional silencing.","/pubmed/26472911","Yu Y, Gu J, Jin Y, Luo Y, Preall JB, Ma J, Czech B, Hannon GJ.","Science. 2015 Oct 16;350(6258):339-42. doi: 10.1126/science.aab0700.","Science.  2015","PubMed","citation","PMID:26472911 | PMCID:PMC4722808","pubmed","26472911","create date:2015/10/17 | first author:Yu Y",
"Discovery of progenitor cell signatures by time-series synexpression analysis during Drosophila embryonic cell immortalization.","/pubmed/26438832","Dequéant ML, Fagegaltier D, Hu Y, Spirohn K, Simcox A, Hannon GJ, Perrimon N.","Proc Natl Acad Sci U S A. 2015 Oct 20;112(42):12974-9. doi: 10.1073/pnas.1517729112. Erratum in: Proc Natl Acad Sci U S A. 2015 Nov 17;112(46):E6408. ","Proc Natl Acad Sci U S A.  2015","PubMed","citation","PMID:26438832 | PMCID:PMC4620889","pubmed","26438832","create date:2015/10/07 | first author:Dequéant ML",
"Genome and transcriptome of the regeneration-competent flatworm, Macrostomum lignano.","/pubmed/26392545","Wasik K, Gurtowski J, Zhou X, Ramos OM, Delás MJ, Battistoni G, El Demerdash O, Falciatori I, Vizoso DB, Smith AD, Ladurner P, Schärer L, McCombie WR, Hannon GJ, Schatz M.","Proc Natl Acad Sci U S A. 2015 Oct 6;112(40):12462-7. doi: 10.1073/pnas.1516718112.","Proc Natl Acad Sci U S A.  2015","PubMed","citation","PMID:26392545 | PMCID:PMC4603488","pubmed","26392545","create date:2015/09/24 | first author:Wasik K",
"Dual functions of Macpiwi1 in transposon silencing and stem cell maintenance in the flatworm Macrostomum lignano.","/pubmed/26323280","Zhou X, Battistoni G, El Demerdash O, Gurtowski J, Wunderer J, Falciatori I, Ladurner P, Schatz MC, Hannon GJ, Wasik KA.","RNA. 2015 Nov;21(11):1885-97. doi: 10.1261/rna.052456.115.","RNA.  2015","PubMed","citation","PMID:26323280 | PMCID:PMC4604429","pubmed","26323280","create date:2015/09/02 | first author:Zhou X",
